state_name,district_name,district_key,year,year_start,shannon_index,simpson_index,crop_richness,total_cropped_area,dominant_crop,dominant_crop_share,top3_crops_share
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2011-12,2011,1.611,0.7034,19,7619.6,Coconut,0.4649,0.8204
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2012-13,2012,1.532,0.6711,17,7139.7,Coconut,0.4972,0.824
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2013-14,2013,1.5137,0.6716,18,7419.4,Coconut,0.4798,0.8357
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2014-15,2014,1.4936,0.6657,19,7309.2,Coconut,0.4873,0.8397
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2015-16,2015,1.4051,0.6422,19,7046.5,Coconut,0.5058,0.862
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2016-17,2016,1.3262,0.6287,17,6923.2,Coconut,0.5148,0.8955
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2017-18,2017,1.579,0.722,15,3430.4,Coconut,0.3593,0.8433
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2018-19,2018,1.2066,0.5854,13,4936.8,Coconut,0.5864,0.9243
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2019-20,2019,1.1701,0.5836,15,4896.2,Coconut,0.5739,0.9438
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,1997-98,1997,1.075,0.4328,18,900300.0,Groundnut,0.7453,0.8782
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,1998-99,1998,0.9813,0.378,18,996500.0,Groundnut,0.7838,0.8839
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,1999-00,1999,0.8997,0.3514,20,894983.0,Groundnut,0.8007,0.9023
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2000-01,2000,1.0679,0.3955,31,1053770.0,Groundnut,0.773,0.864
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2001-02,2001,1.1203,0.4327,31,1041887.0,Groundnut,0.7462,0.8639
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2002-03,2002,1.0838,0.4211,30,993909.0,Groundnut,0.7544,0.8697
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2003-04,2003,1.1779,0.4686,30,952981.0,Groundnut,0.7198,0.852
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2004-05,2004,0.978,0.3827,30,1118637.0,Groundnut,0.7798,0.8926
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2005-06,2005,0.9201,0.3562,30,1126478.0,Groundnut,0.7981,0.8849
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2006-07,2006,1.1572,0.4805,28,933544.0,Groundnut,0.7092,0.8638
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2007-08,2007,0.9218,0.3732,15,1141000.0,Groundnut,0.7862,0.8913
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2008-09,2008,0.9452,0.3775,28,1111223.0,Groundnut,0.7833,0.8929
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2009-10,2009,1.4521,0.5941,29,859671.0,Groundnut,0.617,0.7938
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2010-11,2010,1.1185,0.4485,31,1137374.0,Groundnut,0.7333,0.8742
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2011-12,2011,1.2876,0.4884,33,1065557.0,Groundnut,0.7075,0.8203
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2012-13,2012,1.2347,0.4857,26,1031866.0,Groundnut,0.7075,0.8489
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2013-14,2013,1.3685,0.5217,34,1068309.0,Groundnut,0.6819,0.8089
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2014-15,2014,1.4674,0.5669,34,877943.0,Groundnut,0.6444,0.807
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2015-16,2015,1.8118,0.7379,32,1303461.0,Groundnut,0.3592,0.7695
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2016-17,2016,1.3389,0.6326,31,1480033.0,Niger Seed,0.4316,0.9005
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2017-18,2017,1.7174,0.7271,34,1192779.0,Niger Seed,0.3691,0.7862
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2018-19,2018,1.7031,0.7186,33,1349238.0,Niger Seed,0.3752,0.7969
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,2019-20,2019,1.8465,0.7553,35,1229622.0,Niger Seed,0.3485,0.756
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,1997-98,1997,1.19,0.5617,14,428100.0,Groundnut,0.6148,0.9168
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,1998-99,1998,1.2147,0.5727,16,441800.0,Groundnut,0.6034,0.9178
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,1999-00,1999,1.2749,0.5964,20,366472.0,Groundnut,0.5877,0.915
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2000-01,2000,1.4771,0.6306,34,381012.0,Groundnut,0.563,0.8668
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2001-02,2001,1.4915,0.6512,31,364863.0,Groundnut,0.5284,0.8716
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2002-03,2002,1.6981,0.7094,32,254292.0,Groundnut,0.4733,0.8256
