div_key,shrug_key,method,score,n_sharing_parent
KARNATAKA|BAGALKOTE,KARNATAKA|BAGALKOT,fuzzy_auto,0.941,1.0
KARNATAKA|BALLARI,KARNATAKA|BELLARY,parent_map,1.0,1.0
KARNATAKA|BANGALORE RURAL,KARNATAKA|BANGALORE RURAL,exact,1.0,1.0
KARNATAKA|BELAGAVI,KARNATAKA|BELGAUM,parent_map,1.0,1.0
KARNATAKA|BENGALURU URBAN,KARNATAKA|BANGALORE,parent_map,1.0,1.0
KARNATAKA|BIDAR,KARNATAKA|BIDAR,exact,1.0,1.0
KARNATAKA|CHAMARAJANAGARA,KARNATAKA|CHAMARAJANAGAR,fuzzy_auto,0.966,1.0
KARNATAKA|CHIKKABALLAPURA,KARNATAKA|CHIKKABALLAPURA,exact,1.0,1.0
KARNATAKA|CHIKKAMAGALURU,KARNATAKA|CHIKMAGALUR,fuzzy_auto,0.88,1.0
KARNATAKA|CHITRADURGA,KARNATAKA|CHITRADURGA,exact,1.0,1.0
KARNATAKA|DAKSHINA KANNADA,KARNATAKA|DAKSHINA KANNADA,exact,1.0,1.0
KARNATAKA|DAVANGERE,KARNATAKA|DAVANAGERE,fuzzy_auto,0.947,1.0
KARNATAKA|DHARWAD,KARNATAKA|DHARWAD,exact,1.0,1.0
KARNATAKA|GADAG,KARNATAKA|GADAG,exact,1.0,1.0
KARNATAKA|HASSAN,KARNATAKA|HASSAN,exact,1.0,1.0
KARNATAKA|HAVERI,KARNATAKA|HAVERI,exact,1.0,1.0
KARNATAKA|KALABURAGI,KARNATAKA|GULBARGA,parent_map,1.0,1.0
KARNATAKA|KODAGU,KARNATAKA|KODAGU,exact,1.0,1.0
KARNATAKA|KOLAR,KARNATAKA|KOLAR,exact,1.0,1.0
KARNATAKA|KOPPAL,KARNATAKA|KOPPAL,exact,1.0,1.0
KARNATAKA|MANDYA,KARNATAKA|MANDYA,exact,1.0,1.0
KARNATAKA|MYSURU,KARNATAKA|MYSORE,parent_map,1.0,1.0
KARNATAKA|RAICHUR,KARNATAKA|RAICHUR,exact,1.0,1.0
KARNATAKA|RAMANAGARA,KARNATAKA|RAMANAGARA,exact,1.0,1.0
KARNATAKA|SHIVAMOGGA,KARNATAKA|SHIMOGA,fuzzy_review,0.824,1.0
KARNATAKA|TUMAKURU,KARNATAKA|TUMKUR,fuzzy_review,0.857,1.0
KARNATAKA|UDUPI,KARNATAKA|UDUPI,exact,1.0,1.0
KARNATAKA|UTTARA KANNADA,KARNATAKA|UTTARA KANNADA,exact,1.0,1.0
KARNATAKA|VIJAYAPURA,KARNATAKA|BIJAPUR,parent_map,1.0,1.0
KARNATAKA|YADAGIRI,KARNATAKA|YADGIR,fuzzy_review,0.857,1.0
KERALA|ALAPPUZHA,KERALA|ALAPPUZHA,exact,1.0,1.0
KERALA|ERNAKULAM,KERALA|ERNAKULAM,exact,1.0,1.0
KERALA|IDUKKI,KERALA|IDUKKI,exact,1.0,1.0
KERALA|KANNUR,KERALA|KANNUR,exact,1.0,1.0
KERALA|KASARAGOD,KERALA|KASARAGOD,exact,1.0,1.0
KERALA|KOLLAM,KERALA|KOLLAM,exact,1.0,1.0
KERALA|KOTTAYAM,KERALA|KOTTAYAM,exact,1.0,1.0
KERALA|KOZHIKODE,KERALA|KOZHIKODE,exact,1.0,1.0
KERALA|MALAPPURAM,KERALA|MALAPPURAM,exact,1.0,1.0
KERALA|PALAKKAD,KERALA|PALAKKAD,exact,1.0,1.0
KERALA|PATHANAMTHITTA,KERALA|PATHANAMTHITTA,exact,1.0,1.0
KERALA|THIRUVANANTHAPURAM,KERALA|THIRUVANANTHAPURAM,exact,1.0,1.0
KERALA|THRISSUR,KERALA|THRISSUR,exact,1.0,1.0
KERALA|WAYANAD,KERALA|WAYANAD,exact,1.0,1.0
LADAKH|KARGIL,JAMMU KASHMIR|KARGIL,parent_map,1.0,2.0
